killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y
M416,BSTWolfie,3,457772.9,357978.5,ERANGEL,2U4GBNA0YmmgZy5RA7pAktLNU8vPsnurSlg3YwHRS02d-octo0EWhN9alB6IKcyx,1695,Bond40,4,456092.8,359827.6
M416,luuuzofee,27,371410.6,424329.9,MIRAMAR,2U4GBNA0Ymn_KvZKlTBW5-VAsYMVyIfAIbuuJ0XN_L2NqsQkNOahLpqKyG5lkPyb,122,DanielSniper321,20,370547,423998.8
Down and Out,NA,NA,NA,NA,NA,2U4GBNA0YmmrRPqmwZR3kkzIJI5fZL79-td4Y1P6BzncajYOqBttSq9k7o3GSSYn,1513,JUMPONURHEAD,7,419137.3,664064.8
AKM,TommyTNT,49,375479,436713.6,MIRAMAR,2U4GBNA0YmnKK61Ntzb05ss_Rb4iVhojH_JQ6uXTZw44OBr7Shpwqk6rJ1Fn0iXa,289,cutdeeee,59,374113.1,436574.4
M16A4,MGHGD,62,560152.2,485387.8,ERANGEL,2U4GBNA0YmkiRQB_q2w12RuaXuugLbgWp-94gvXlD9lHVe-5VooezT4FJV82EUVg,176,UZlajilaji,68,560904.4,484924.3
Kar98k,JinHuan,1,275818.1,481625.1,ERANGEL,2U4GBNA0YmmI45JX30qTVZJR8osvLgJc6R_kq6sUfCI25VJ17-VjTYHM9tMJ8rmr,1617,dberg24,11,277880.7,485656.1
AKM,Augus-24,27,224137.3,392477.8,ERANGEL,2U4GBNA0Ymmu9ap_OlL3hsaz5tbemk_spi0l9ldzMJZC1STkS8YIeXUYvSyZHoHp,511,JunyuLu,31,223566.7,392159.9
AKM,Wax_Fox,8,435353.9,532283.5,MIRAMAR,2U4GBNA0YmnOEvIU4mViH95OA4lpnGbQ5CmSzQO1L7-uV2EgBAPohgj3OiiyhPpm,1229,ligang8888888,11,433757.4,532016.9
S686,ShendNudes,6,605000.4,488171.8,ERANGEL,2U4GBNA0YmmTCTzjyIaR14MkvPulwc8MogDAWKIQIYOiZOAN9ZBrdXJySqTUmme9,134,xmaleficent,17,604991.9,488404.7
Punch,HOMERUN2k,1,420355.7,324144.2,ERANGEL,2U4GBNA0YmlwaR8rkvhqr83jnocYKDMpElyyxN15grlcUi57dLmO7gkSLHuufqoT,106,nonametouse,12,420510.3,324246.6
M416,Bozingga,2,295655.4,333615.4,ERANGEL,2U4GBNA0YmmZknVKyCTkTdmZsGfZXwClPHESsjh7IqUY7p1wj09Ocm67Zfggp_J1,1817,desmuson,4,295109.8,338037.4
SCAR-L,yedian158,1,536762.6,311512.7,ERANGEL,2U4GBNA0YmmvYqJ0_zQUzPnAjpG2eR-HLlTEdTP9HVzbKAWSFUXF6m99hT_5ucGe,1419,KIDD-CHEN,12,536458.4,309943.6
AKM,Wigglywombat2,7,421620.1,523533.6,MIRAMAR,2U4GBNA0YmkdlTaTqgK4s4RNEjxnOugtRpPwuak-tOWL9mY-NViAVzLdaOUolvvy,1395,BBTWK1,9,421801.8,522988.5
Tommy Gun,Trailblar,25,362113.9,411172.8,ERANGEL,2U4GBNA0Ymmhm70Kf_MPZrHYz96s9LM75vVICxt0aHPjPeco5CosyzatEfJRUCbg,118,ytdy2131,27,363135.4,409606.8
M416,Loagdog6969xd,7,350972.3,447954.6,ERANGEL,2U4GBNA0Yml4rL6GNSwhLK20UHx9Etu70lO6Lgq53CGAaxma0PgWpg34JP3C4YFv,943,HysGDO,9,351609.1,448142.2
Down and Out,LuBenWeiDeSKS,10,437066.1,337943.2,ERANGEL,2U4GBNA0Yml7VGIYUyVok3qV43pRIryu9RLTOfHlf76ShGiZ6wrzDuRcQ8Tfwr0N,1142,sunyadong8b610,12,440237.1,324982.2
M416,PhoSho,5,363473.2,398344.2,ERANGEL,2U4GBNA0YmmvMIUZoI84Mj-WcxZGoGHfZnaHkJO1WiwtohP6bizHVL-aV6pnJ7pS,588,Killber305,49,361182.1,399680.6
S12K,luguang007,29,448648.8,621030.4,ERANGEL,2U4GBNA0Ymn2VudQqIMeXNpvHhteR0JaENzLvZTgHwNgji5Y4rRojwVjolwzcq30,208,LordHellsing,37,446443.5,620853.4
S1897,Vincent1268,31,532520.8,235726.9,ERANGEL,2U4GBNA0Ymn_V7QHtrr_Sgf2Oe1UEyg3T40Qdid5okLHkgY-2vWj2tFJ_Th9-v7f,107,mynameis_long_,92,532178.3,235930
S686,RukiNguyen,5,655622.1,355184.5,ERANGEL,2U4GBNA0Yml2R-VqqD3mNvfxq1-UuoWdX2WIrJpQGSYn3PpHDD7nbcyWwMlBQZkZ,187,RapidRunner23,75,654865.6,357121.3
M416,yourbfiskilling,61,451101.8,621033.4,ERANGEL,2U4GBNA0Ymk7tRXL0lQWKCImmsxOrc7pcBxc2iEnRy5zXGckLR4_x2GMVVgxRWOJ,128,Hitman1225,85,450019.5,630052.8
S686,Navi2143,36,357039.9,409534.3,ERANGEL,2U4GBNA0Ymm5cKFM2X7evq72cUi_VcdLlAJep86JKenWuy0BoyZJDbCOxqD7usqp,213,Dr1ftedt1e56,74,356853.4,409786.3
M16A4,dLong,7,193374,275573.7,ERANGEL,2U4GBNA0Yml5ofT9bdTp1sIjiecKbIpBPDnd5viyq9MK7qvzzoIxC3eFOmB1DKED,317,LookingforDairy,27,192863.9,274802.9
UMP9,Stinburgers,16,418247.9,323938.1,ERANGEL,2U4GBNA0YmnhucQISM1zLeKvb2yiL7X-cUNaR7x35gVHQE1tSxF888zaJ2dK9cfP,176,alfklk,73,418642.9,323999
R1895,YipYipMoFo,26,486875.5,78387.8,ERANGEL,2U4GBNA0YmnRRHPR5GPB6nNRLSMJ-iiGDsk0b95n4h3XYyVu1UKIdBywW-RyVl_T,499,Spongyshoes,26,486688,78618.4
M416,qwesz1314,27,341746.8,171411.7,ERANGEL,2U4GBNA0YmkL5Ia6op1tJWxVl1cLxM_w4q5foJcb7GhgU-kVMYkg4TuKarrCfMfa,222,FREEDOMS30,66,341959.8,169250.4
M416,direct-seeding,6,251375.2,468698.2,NA,2U4GBNA0YmnCqddr810sUBejtbteInxlwo0x-NkHa5BIqGf9his-hzB5YfoSDMbH,1353,Zccccc520,12,254037.8,465546.5
Down and Out,dongershengong,18,136058,437409.1,ERANGEL,2U4GBNA0YmnsuJyapkYFKLS1dYrdCRE573k0nktjwXs90vDFk9y_gGlofztU0Qds,166,XboxAddictionz,45,136226,438586.2
M16A4,Te-sakula,4,290726.8,466925.2,ERANGEL,2U4GBNA0YmkkkY6P10wX9Ow-ekno3VYwQ7FLxgKq_kJry7OJ80YBLBo01vnwzIgx,1314,nhf6666,7,300818.8,456405.7
